Entry	Entry Name	Gene Names	Gene Names (ordered locus)	Protein names	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
Q9HTV3	UBID_PSEAE	ubiD PA5237	PA5237	3-octaprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.98) (Polyprenyl p-hydroxybenzoate decarboxylase)	GO:0005737; GO:0005829; GO:0005886; GO:0006744; GO:0008694; GO:0046872	ubiquinone biosynthetic process [GO:0006744]	4-hydroxy-3-polyprenylbenzoate decarboxylase activity [GO:0008694]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
Q9HU42	HIS51_PSEAE	hisH1 PA5142	PA5142	Imidazole glycerol phosphate synthase subunit HisH 1 (EC 4.3.2.10) (IGP synthase glutaminase subunit 1) (EC 3.5.1.2) (IGP synthase subunit HisH 1) (ImGP synthase subunit HisH 1) (IGPS subunit HisH 1)	GO:0000105; GO:0000107; GO:0004359; GO:0009382; GO:0016829	L-histidine biosynthetic process [GO:0000105]	glutaminase activity [GO:0004359]; imidazoleglycerol-phosphate synthase activity [GO:0000107]; lyase activity [GO:0016829]	imidazoleglycerol-phosphate synthase complex [GO:0009382]
Q9HU65	GLN1B_PSEAE	glnA PA5119	PA5119	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I beta) (GSI beta)	GO:0004356; GO:0005524; GO:0005737; GO:0006542; GO:0016020; GO:0019740; GO:0046872	glutamine biosynthetic process [GO:0006542]; nitrogen utilization [GO:0019740]	ATP binding [GO:0005524]; glutamine synthetase activity [GO:0004356]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]; membrane [GO:0016020]
Q9HU73	F16PA_PSEAE	fbp PA5110	PA5110	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	GO:0000287; GO:0005737; GO:0005829; GO:0006094; GO:0042132	gluconeogenesis [GO:0006094]	fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; magnesium ion binding [GO:0000287]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q9HUC6	HSLV_PSEAE	hslV PA5053	PA5053	ATP-dependent protease subunit HslV (EC 3.4.25.2)	GO:0004298; GO:0005737; GO:0005839; GO:0009376; GO:0046872; GO:0051603	proteolysis involved in protein catabolic process [GO:0051603]	metal ion binding [GO:0046872]; threonine-type endopeptidase activity [GO:0004298]	cytoplasm [GO:0005737]; HslUV protease complex [GO:0009376]; proteasome core complex [GO:0005839]
Q9HUL9	MIAA_PSEAE	miaA PA4945	PA4945	tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase)	GO:0005524; GO:0006400; GO:0052381	tRNA modification [GO:0006400]	ATP binding [GO:0005524]; tRNA dimethylallyltransferase activity [GO:0052381]	
Q9HUR2	MDLC_PSEAE	mdlC PA4901	PA4901	Benzoylformate decarboxylase (BFD) (BFDC) (EC 4.1.1.7)	GO:0000287; GO:0003984; GO:0019596; GO:0030976; GO:0050660; GO:0050695	mandelate catabolic process [GO:0019596]	acetolactate synthase activity [GO:0003984]; benzoylformate decarboxylase activity [GO:0050695]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]	
Q9HUU7	MDDA_PSEAE	pitA PA4866	PA4866	L-methionine sulfoximine/L-methionine sulfone acetyltransferase (EC 2.3.1.-) (Methionine derivative detoxifier A) (MDDA)	GO:0016747		acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]	
Q9HV55	IF2_PSEAE	infB PA4744	PA4744	Translation initiation factor IF-2	GO:0003743; GO:0003924; GO:0005525; GO:0005737; GO:0005829; GO:0006413	translational initiation [GO:0006413]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation initiation factor activity [GO:0003743]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q9HV78	TRMA_PSEAE	trmA PA4720	PA4720	tRNA/tmRNA (uracil-C(5))-methyltransferase (EC 2.1.1.-) (EC 2.1.1.35) (tRNA (uracil(54)-C(5))-methyltransferase) (tRNA(m5U54)-methyltransferase) (RUMT) (tmRNA (uracil(341)-C(5))-methyltransferase)	GO:0000049; GO:0005829; GO:0019843; GO:0030488; GO:0030697	tRNA methylation [GO:0030488]	rRNA binding [GO:0019843]; tRNA (uracil(54)-C5)-methyltransferase activity, S-adenosyl methionine-dependent [GO:0030697]; tRNA binding [GO:0000049]	cytosol [GO:0005829]
Q9HVD7	HEMH_PSEAE	hemH PA4655	PA4655	Ferrochelatase (EC 4.98.1.1) (Heme synthase) (Protoheme ferro-lyase)	GO:0004325; GO:0005737; GO:0006783; GO:0046872	heme biosynthetic process [GO:0006783]	ferrochelatase activity [GO:0004325]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]
Q9HVG4	RSMC_PSEAE	rsmC PA4627	PA4627	Ribosomal RNA small subunit methyltransferase C (EC 2.1.1.172) (16S rRNA m2G1207 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase RsmC)	GO:0003676; GO:0005737; GO:0008990; GO:0052914; GO:0070475	rRNA base methylation [GO:0070475]	16S rRNA (guanine(1207)-N(2))-methyltransferase activity [GO:0052914]; nucleic acid binding [GO:0003676]; rRNA (guanine-N2-)-methyltransferase activity [GO:0008990]	cytoplasm [GO:0005737]
Q9HVI7	GLYA3_PSEAE	glyA3 PA4602	PA4602	Serine hydroxymethyltransferase 3 (SHMT 3) (Serine methylase 3) (EC 2.1.2.1)	GO:0004372; GO:0005829; GO:0019264; GO:0030170; GO:0035999; GO:0046653	glycine biosynthetic process from L-serine [GO:0019264]; tetrahydrofolate interconversion [GO:0035999]; tetrahydrofolate metabolic process [GO:0046653]	glycine hydroxymethyltransferase activity [GO:0004372]; pyridoxal phosphate binding [GO:0030170]	cytosol [GO:0005829]
Q9HVL9	PROB_PSEAE	proB PA4565	PA4565	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)	GO:0003723; GO:0004349; GO:0005524; GO:0005829; GO:0055129	L-proline biosynthetic process [GO:0055129]	ATP binding [GO:0005524]; glutamate 5-kinase activity [GO:0004349]; RNA binding [GO:0003723]	cytosol [GO:0005829]
Q9HVM1	RS20_PSEAE	rpsT PA4563	PA4563	Small ribosomal subunit protein bS20 (30S ribosomal protein S20)	GO:0003735; GO:0005829; GO:0006412; GO:0015935; GO:0070181	translation [GO:0006412]	small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]	cytosol [GO:0005829]; small ribosomal subunit [GO:0015935]
Q9HVP8	COAE_PSEAE	coaE PA4529	PA4529	Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase)	GO:0004140; GO:0005524; GO:0005737; GO:0015937	coenzyme A biosynthetic process [GO:0015937]	ATP binding [GO:0005524]; dephospho-CoA kinase activity [GO:0004140]	cytoplasm [GO:0005737]
Q9HVU5	YHDP_PSEAE	yhdP PA4476	PA4476	Intermembrane phospholipid transporter YhdP (AsmA-like protein YhdP) (Phospholipid transport protein YhdP)	GO:0015914	phospholipid transport [GO:0015914]		
Q9HVW7	MURA_PSEAE	murA PA4450	PA4450	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	GO:0005829; GO:0008360; GO:0008760; GO:0009252; GO:0019277; GO:0051301; GO:0071555	cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylgalactosamine biosynthetic process [GO:0019277]	UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity [GO:0008760]	cytosol [GO:0005829]
Q9HW02	MURC_PSEAE	murC PA4411	PA4411	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	GO:0005524; GO:0005737; GO:0008360; GO:0008763; GO:0009252; GO:0051301; GO:0071555	cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	ATP binding [GO:0005524]; UDP-N-acetylmuramate-L-alanine ligase activity [GO:0008763]	cytoplasm [GO:0005737]
Q9HW50	OLSA_PSEAE	olsA PA4351	PA4351	Lyso-ornithine lipid O-acyltransferase (EC 2.3.1.270)	GO:0003841; GO:0006654; GO:0016020; GO:0016036; GO:0046467	cellular response to phosphate starvation [GO:0016036]; membrane lipid biosynthetic process [GO:0046467]; phosphatidic acid biosynthetic process [GO:0006654]	1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]	membrane [GO:0016020]
Q9HWC9	RPOC_PSEAE	rpoC PA4269	PA4269	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	GO:0000287; GO:0000428; GO:0003677; GO:0003899; GO:0005829; GO:0006351; GO:0008270	DNA-templated transcription [GO:0006351]	DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]	cytosol [GO:0005829]; DNA-directed RNA polymerase complex [GO:0000428]
Q9HWD6	RL4_PSEAE	rplD PA4262	PA4262	Large ribosomal subunit protein uL4 (50S ribosomal protein L4)	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]
Q9HWD8	RL2_PSEAE	rplB PA4260	PA4260	Large ribosomal subunit protein uL2 (50S ribosomal protein L2)	GO:0002181; GO:0003723; GO:0003735; GO:0016740; GO:0019843; GO:0022625	cytoplasmic translation [GO:0002181]	RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; transferase activity [GO:0016740]	cytosolic large ribosomal subunit [GO:0022625]
Q9HWG0	UVRA_PSEAE	uvrA PA4234	PA4234	UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)	GO:0003677; GO:0005524; GO:0005829; GO:0006289; GO:0006974; GO:0008270; GO:0009380; GO:0009381; GO:0009432; GO:0016887	DNA damage response [GO:0006974]; nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381]; zinc ion binding [GO:0008270]	cytosol [GO:0005829]; excinuclease repair complex [GO:0009380]
Q9HWI0	DDLA_PSEAE	ddlA PA4201	PA4201	D-alanine--D-alanine ligase A (EC 6.3.2.4) (D-Ala-D-Ala ligase A) (D-alanylalanine synthetase A)	GO:0005524; GO:0005829; GO:0008360; GO:0008716; GO:0009252; GO:0046872; GO:0071555	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	ATP binding [GO:0005524]; D-alanine-D-alanine ligase activity [GO:0008716]; metal ion binding [GO:0046872]	cytosol [GO:0005829]
Q9HWZ6	IPYR_PSEAE	ppa PA4031	PA4031	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	GO:0000287; GO:0004427; GO:0005615; GO:0005829; GO:0006796	phosphate-containing compound metabolic process [GO:0006796]	inorganic diphosphate phosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287]	cytosol [GO:0005829]; extracellular space [GO:0005615]
Q9HX08	UBIX_PSEAE	ubiX PA4019	PA4019	Flavin prenyltransferase UbiX (EC 2.5.1.129)	GO:0004659; GO:0016831; GO:0106141		carboxy-lyase activity [GO:0016831]; flavin prenyltransferase activity [GO:0106141]; prenyltransferase activity [GO:0004659]	
Q9HX21	NADD_PSEAE	nadD PA4006	PA4006	Probable nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)	GO:0000309; GO:0004515; GO:0005524; GO:0034355	NAD+ biosynthetic process via the salvage pathway [GO:0034355]	ATP binding [GO:0005524]; nicotinamide-nucleotide adenylyltransferase activity [GO:0000309]; nicotinate-nucleotide adenylyltransferase activity [GO:0004515]	
Q9HX25	LIPA_PSEAE	lipA PA3996	PA3996	Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)	GO:0005737; GO:0009249; GO:0016992; GO:0046872; GO:0051539	protein lipoylation [GO:0009249]	4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]
Q9HX40	THIE_PSEAE	thiE PA3976	PA3976	Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase)	GO:0000287; GO:0004789; GO:0005737; GO:0009228; GO:0009229	thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]	magnesium ion binding [GO:0000287]; thiamine-phosphate diphosphorylase activity [GO:0004789]	cytoplasm [GO:0005737]
Q9HX97	MOAE_PSEAE	moaE PA3916	PA3916	Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (MPT synthase subunit 2) (Molybdenum cofactor biosynthesis protein E) (Molybdopterin-converting factor large subunit) (Molybdopterin-converting factor subunit 2)	GO:0005829; GO:0006777; GO:0030366	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	molybdopterin synthase activity [GO:0030366]	cytosol [GO:0005829]
Q9HXE5	RHLB_PSEAE	rhlB rhl PA3861	PA3861	ATP-dependent RNA helicase RhlB (EC 3.6.4.13)	GO:0003723; GO:0003724; GO:0005524; GO:0005829; GO:0006401; GO:0016887	RNA catabolic process [GO:0006401]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	cytosol [GO:0005829]
Q9HXI8	ISCS_PSEAE	iscS PA3814	PA3814	Cysteine desulfurase IscS (EC 2.8.1.7)	GO:0030170; GO:0031071; GO:0044571; GO:0046872; GO:0051537; GO:1990221	[2Fe-2S] cluster assembly [GO:0044571]	2 iron, 2 sulfur cluster binding [GO:0051537]; cysteine desulfurase activity [GO:0031071]; metal ion binding [GO:0046872]; pyridoxal phosphate binding [GO:0030170]	L-cysteine desulfurase complex [GO:1990221]
Q9HXP3	PURT_PSEAE	purT PA3751	PA3751	Formate-dependent phosphoribosylglycinamide formyltransferase (EC 6.3.1.21) (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (GAR transformylase 2) (GART 2) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2)	GO:0000287; GO:0004644; GO:0005524; GO:0005829; GO:0006189; GO:0043815	'de novo' IMP biosynthetic process [GO:0006189]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phosphoribosylglycinamide formyltransferase 2 activity [GO:0043815]; phosphoribosylglycinamide formyltransferase activity [GO:0004644]	cytosol [GO:0005829]
Q9HXQ1	TRMD_PSEAE	trmD PA3743	PA3743	tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)	GO:0002939; GO:0005829; GO:0052906	tRNA N1-guanine methylation [GO:0002939]	tRNA (guanine(37)-N1)-methyltransferase activity [GO:0052906]	cytosol [GO:0005829]
Q9HXY9	RNH2_PSEAE	rnhB PA3642	PA3642	Ribonuclease HII (RNase HII) (EC 3.1.26.4)	GO:0003723; GO:0004523; GO:0005737; GO:0006298; GO:0030145; GO:0032299; GO:0043137	DNA replication, removal of RNA primer [GO:0043137]; mismatch repair [GO:0006298]	manganese ion binding [GO:0030145]; RNA binding [GO:0003723]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; ribonuclease H2 complex [GO:0032299]
Q9HXZ2	ACCA_PSEAE	accA PA3639	PA3639	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	GO:0003989; GO:0005524; GO:0006633; GO:0009317; GO:0016743; GO:2001295	fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; carboxyl- or carbamoyltransferase activity [GO:0016743]	acetyl-CoA carboxylase complex [GO:0009317]
